time, Quad.MagYaw, Quad.Est.Yaw, Quad.Yaw
0.005000,nan,0.001569,0.000000
0.010000,0.169616,0.036309,0.000003
0.015000,nan,0.039573,0.000003
0.020000,-0.175517,-0.000349,-0.000001
0.025000,nan,0.002586,-0.000012
0.030000,-0.000679,0.001312,-0.000025
0.035000,nan,0.000077,-0.000037
0.040000,0.021182,0.002692,-0.000047
0.045000,nan,0.003320,-0.000056
0.050000,0.017052,0.006281,-0.000061
0.055000,nan,0.005007,-0.000060
0.060000,-0.127862,-0.015157,-0.000048
0.065000,nan,-0.015411,-0.000029
0.070000,0.030606,-0.008733,-0.000000
0.075000,nan,-0.009091,0.000039
0.080000,0.147557,0.011717,0.000083
0.085000,nan,0.014372,0.000123
0.090000,0.147453,0.033600,0.000157
0.095000,nan,0.035757,0.000186
0.100000,0.084103,0.041959,0.000211
0.105000,nan,0.040172,0.000236
0.110000,-0.057435,0.028297,0.000260
0.115000,nan,0.026836,0.000285
0.120000,-0.058369,0.018127,0.000313
0.125000,nan,0.017438,0.000344
0.130000,0.050985,0.022669,0.000378
0.135000,nan,0.023931,0.000417
0.140000,0.103438,0.031670,0.000458
0.145000,nan,0.030502,0.000495
0.150000,0.022541,0.031323,0.000526
0.155000,nan,0.033081,0.000549
0.160000,-0.116287,0.014927,0.000563
0.165000,nan,0.014308,0.000571
0.170000,0.059335,0.020873,0.000573
0.175000,nan,0.018342,0.000572
0.180000,0.106305,0.031034,0.000567
0.185000,nan,0.030720,0.000563
0.190000,0.013441,0.028714,0.000561
0.195000,nan,0.025046,0.000560
0.200000,-0.081023,0.012379,0.000563
0.205000,nan,0.013233,0.000570
0.210000,-0.103704,-0.000738,0.000580
0.215000,nan,0.001199,0.000591
0.220000,-0.044208,-0.006812,0.000605
0.225000,nan,-0.005937,0.000623
0.230000,0.067116,0.002806,0.000644
0.235000,nan,0.003152,0.000666
0.240000,-0.146971,-0.012364,0.000688
0.245000,nan,-0.009330,0.000708
0.250000,0.045318,-0.003667,0.000722
0.255000,nan,-0.004293,0.000731
0.260000,0.204030,0.017770,0.000737
0.265000,nan,0.021235,0.000741
0.270000,-0.025616,0.017510,0.000739
0.275000,nan,0.016269,0.000735
0.280000,-0.075814,0.003932,0.000729
0.285000,nan,0.000930,0.000722
0.290000,-0.022121,-0.003419,0.000715
0.295000,nan,-0.005533,0.000708
0.300000,-0.036508,-0.010920,0.000699
0.305000,nan,-0.011044,0.000689
0.310000,-0.127178,-0.024195,0.000679
0.314999,nan,-0.024007,0.000668
0.319999,0.146674,-0.004101,0.000658
0.324999,nan,-0.002859,0.000649
0.329999,0.074253,0.007042,0.000641
0.334999,nan,0.007722,0.000634
0.339999,0.050731,0.012461,0.000629
0.344999,nan,0.013376,0.000627
0.349999,0.002833,0.012828,0.000624
0.354999,nan,0.014529,0.000618
0.359999,-0.062434,0.006563,0.000612
0.364999,nan,0.006646,0.000608
0.369999,-0.050116,0.000344,0.000603
0.374999,nan,-0.001211,0.000599
0.379999,0.202043,0.021295,0.000598
0.384999,nan,0.025358,0.000598
0.389999,0.018882,0.024728,0.000599
0.394998,nan,0.024252,0.000598
0.399998,0.076399,0.029871,0.000597
0.404998,nan,0.030755,0.000593
0.409998,-0.047363,0.023262,0.000585
0.414998,nan,0.024452,0.000570
0.419998,-0.010727,0.020439,0.000549
0.424998,nan,0.021720,0.000523
0.429998,-0.266196,-0.013819,0.000493
0.434998,nan,-0.010584,0.000463
0.439998,0.013244,-0.007811,0.000436
0.444998,nan,-0.006574,0.000414
0.449998,-0.148163,-0.022682,0.000397
0.454998,nan,-0.026493,0.000383
0.459998,0.033298,-0.021703,0.000369
0.464998,nan,-0.021224,0.000351
0.469997,0.221095,0.005266,0.000330
0.474997,nan,0.004088,0.000309
0.479997,-0.311995,-0.032458,0.000294
0.484997,nan,-0.033529,0.000287
0.489997,0.074344,-0.019806,0.000288
0.494997,nan,-0.019595,0.000298
0.499997,-0.152056,-0.032611,0.000317
0.504997,nan,-0.032138,0.000342
0.509997,0.177634,-0.006975,0.000373
0.514997,nan,-0.007125,0.000406
0.519997,-0.007094,-0.007062,0.000440
0.524997,nan,-0.004679,0.000473
0.529997,-0.008427,-0.006898,0.000502
0.534997,nan,-0.006634,0.000524
0.539997,0.062020,0.001769,0.000536
0.544997,nan,0.000108,0.000541
0.549996,0.140778,0.018409,0.000543
0.554996,nan,0.021765,0.000547
0.559996,-0.095993,0.007574,0.000545
0.564996,nan,0.006218,0.000533
0.569996,0.161689,0.022762,0.000513
0.574996,nan,0.023951,0.000484
0.579996,0.001123,0.019880,0.000454
0.584996,nan,0.021352,0.000427
0.589996,0.020521,0.020936,0.000403
0.594996,nan,0.020322,0.000384
0.599996,0.099332,0.028813,0.000371
0.604996,nan,0.030694,0.000363
0.609996,0.033115,0.029473,0.000356
0.614996,nan,0.031434,0.000349
0.619996,-0.167295,0.009239,0.000341
0.624996,nan,0.010368,0.000329
0.629995,-0.136775,-0.007589,0.000319
0.634995,nan,-0.006064,0.000313
0.639995,0.034497,0.000656,0.000313
0.644995,nan,0.000555,0.000317
0.649995,-0.030473,-0.002375,0.000328
0.654995,nan,-0.002273,0.000344
0.659995,-0.013019,-0.001605,0.000361
0.664995,nan,-0.001506,0.000378
0.669995,0.072552,0.006046,0.000398
0.674995,nan,0.004881,0.000423
0.679995,-0.130721,-0.008672,0.000454
0.684995,nan,-0.010648,0.000488
0.689995,0.101545,0.000663,0.000524
0.694995,nan,-0.000459,0.000559
0.699995,0.269757,0.031249,0.000589
0.704994,nan,0.029042,0.000614
0.709994,0.050319,0.032018,0.000636
0.714994,nan,0.030275,0.000650
0.719994,-0.132762,0.011040,0.000655
0.724994,nan,0.011809,0.000654
0.729994,-0.042821,0.004497,0.000647
0.734994,nan,-0.000324,0.000638
0.739994,0.048975,0.008310,0.000627
0.744994,nan,0.007445,0.000615
0.749994,-0.008223,0.004914,0.000603
0.754994,nan,0.007000,0.000596
0.759994,-0.003123,0.006732,0.000596
0.764994,nan,0.007215,0.000596
0.769994,0.038981,0.010440,0.000595
0.774994,nan,0.010988,0.000593
0.779994,-0.014357,0.008549,0.000593
0.784993,nan,0.007970,0.000598
0.789993,-0.043339,0.002828,0.000609
0.794993,nan,0.004554,0.000627
0.799993,-0.129886,-0.008471,0.000647
0.804993,nan,-0.008603,0.000664
0.809993,-0.000005,-0.008825,0.000676
0.814993,nan,-0.011297,0.000684
0.819993,-0.168309,-0.027974,0.000687
0.824993,nan,-0.029263,0.000682
0.829993,-0.146638,-0.042358,0.000671
0.834993,nan,-0.042027,0.000656
0.839993,-0.043020,-0.041895,0.000639
0.844993,nan,-0.044319,0.000621
0.849993,-0.070770,-0.046457,0.000607
0.854993,nan,-0.047811,0.000591
0.859993,0.022922,-0.039740,0.000574
0.864992,nan,-0.040375,0.000555
0.869992,-0.038594,-0.042548,0.000540
0.874992,nan,-0.042396,0.000526
0.879992,-0.079772,-0.046273,0.000514
0.884992,nan,-0.048786,0.000499
0.889992,-0.076190,-0.054201,0.000480
0.894992,nan,-0.054263,0.000454
0.899992,-0.071990,-0.056790,0.000422
0.904992,nan,-0.053003,0.000386
0.909992,-0.004220,-0.047150,0.000346
0.914992,nan,-0.046451,0.000298
0.919992,0.145928,-0.026039,0.000243
0.924992,nan,-0.026337,0.000186
0.929992,0.222385,0.000720,0.000123
0.934992,nan,-0.001724,0.000060
0.939991,-0.080056,-0.010613,-0.000001
0.944991,nan,-0.011368,-0.000055
0.949991,0.044116,-0.004634,-0.000102
0.954991,nan,-0.004884,-0.000135
0.959991,0.024181,-0.000121,-0.000154
0.964991,nan,0.005085,-0.000160
0.969991,-0.016166,0.001842,-0.000156
0.974991,nan,0.003231,-0.000147
0.979991,0.021504,0.006522,-0.000131
0.984991,nan,0.005888,-0.000112
0.989991,0.006594,0.006426,-0.000093
0.994991,nan,0.004407,-0.000072
0.999991,-0.060538,-0.001039,-0.000051
1.004991,nan,0.000200,-0.000031
1.009991,-0.052206,-0.004781,-0.000012
1.014991,nan,-0.006052,0.000004
1.019992,0.090363,0.005012,0.000019
1.024992,nan,0.004363,0.000033
1.029992,-0.067476,-0.004238,0.000045
1.034992,nan,0.000015,0.000057
1.039993,0.137051,0.013306,0.000069
1.044993,nan,0.012430,0.000078
1.049993,0.058061,0.018438,0.000082
1.054993,nan,0.018596,0.000084
1.059994,0.169435,0.036081,0.000081
1.064994,nan,0.036617,0.000073
1.069994,-0.002425,0.031967,0.000066
1.074994,nan,0.032188,0.000059
1.079994,0.065093,0.035902,0.000053
1.084995,nan,0.037250,0.000045
1.089995,-0.048587,0.026038,0.000035
1.094995,nan,0.027431,0.000024
1.099995,0.068071,0.032946,0.000008
1.104996,nan,0.033234,-0.000012
1.109996,-0.031973,0.025633,-0.000036
1.114996,nan,0.027430,-0.000062
1.119996,-0.000521,0.025177,-0.000090
1.124997,nan,0.024811,-0.000122
1.129997,0.049377,0.029319,-0.000153
1.134997,nan,0.030118,-0.000184
1.139997,0.170915,0.046721,-0.000213
1.144997,nan,0.047261,-0.000240
1.149998,0.094193,0.052368,-0.000267
1.154998,nan,0.051789,-0.000293
1.159998,-0.018743,0.045471,-0.000315
