time, Quad.Est.E.Yaw
0.005000,0.001569
0.010000,0.036307
0.015000,0.039570
0.020000,-0.000351
0.025000,0.002596
0.030000,0.001332
0.035000,0.000111
0.040000,0.002735
0.045000,0.003375
0.050000,0.006341
0.055000,0.005068
0.060000,-0.015103
0.065000,-0.015377
0.070000,-0.008720
0.075000,-0.009121
0.080000,0.011652
0.085000,0.014256
0.090000,0.033455
0.095000,0.035577
0.100000,0.041758
0.105000,0.039941
0.110000,0.028047
0.115000,0.026556
0.120000,0.017825
0.125000,0.017100
0.130000,0.022305
0.135000,0.023522
0.140000,0.031228
0.145000,0.030013
0.150000,0.030809
0.155000,0.032536
0.160000,0.014369
0.165000,0.013738
0.170000,0.020300
0.175000,0.017770
0.180000,0.030464
0.185000,0.030156
0.190000,0.028152
0.195000,0.024486
0.200000,0.011817
0.205000,0.012664
0.210000,-0.001313
0.215000,0.000611
0.220000,-0.007411
0.225000,-0.006557
0.230000,0.002170
0.235000,0.002491
0.240000,-0.013043
0.245000,-0.010033
0.250000,-0.004385
0.255000,-0.005023
0.260000,0.017035
0.265000,0.020494
0.270000,0.016770
0.275000,0.015532
0.280000,0.003200
0.285000,0.000207
0.290000,-0.004138
0.295000,-0.006243
0.300000,-0.011622
0.305000,-0.011735
0.310000,-0.024878
0.314999,-0.024676
0.319999,-0.004763
0.324999,-0.003510
0.329999,0.006398
0.334999,0.007087
0.339999,0.011830
0.344999,0.012749
0.349999,0.012202
0.354999,0.013910
0.359999,0.005949
0.364999,0.006038
0.369999,-0.000261
0.374999,-0.001811
0.379999,0.020697
0.384999,0.024760
0.389999,0.024130
0.394998,0.023654
0.399998,0.029273
0.404998,0.030161
0.409998,0.022673
0.414998,0.023878
0.419998,0.019881
0.424998,0.021191
0.429998,-0.014325
0.434998,-0.011054
0.439998,-0.008257
0.444998,-0.006992
0.449998,-0.023085
0.454998,-0.026879
0.459998,-0.022078
0.464998,-0.021579
0.469997,0.004927
0.474997,0.003774
0.479997,-0.032757
0.484997,-0.033817
0.489997,-0.020093
0.494997,-0.019890
0.499997,-0.032920
0.504997,-0.032475
0.509997,-0.007335
0.514997,-0.007524
0.519997,-0.007489
0.524997,-0.005146
0.529997,-0.007389
0.534997,-0.007154
0.539997,0.001237
0.544997,-0.000432
0.549996,0.017867
0.554996,0.021218
0.559996,0.007027
0.564996,0.005682
0.569996,0.022240
0.574996,0.023460
0.579996,0.019414
0.584996,0.020920
0.589996,0.020524
0.594996,0.019934
0.599996,0.028438
0.604996,0.030330
0.609996,0.029114
0.614996,0.031083
0.619996,0.008894
0.624996,0.010036
0.629995,-0.007912
0.634995,-0.006377
0.639995,0.000344
0.644995,0.000240
0.649995,-0.002698
0.654995,-0.002613
0.659995,-0.001959
0.664995,-0.001881
0.669995,0.005657
0.674995,0.004463
0.679995,-0.009113
0.684995,-0.011129
0.689995,0.000154
0.694995,-0.001011
0.699995,0.030672
0.704994,0.028433
